Chemical name	Distance (lower = more similar)
Sulfuric acid--2-bromo-1,1,2,2-tetrafluoroethan-1-ol (1/2)	8
Dimethylsilyl trifluoromethanesulfonate	8
Methane(~2~H)sulfonic acid	8
Methanesulfonic acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/1)	8
(Trifluoromethanesulfonyl)ethene	8
1,2-Dichloro-1,2,2-trifluoroethane-1-sulfonyl chloride	8
1,2-Dichloro-1,2,2-trifluoroethane-1-sulfonyl fluoride	8
4'-(Trifluoromethyl)[1,1'-biphenyl]-4-sulfonic acid	8
2-Fluorobenzene-1-sulfonic acid	8
Sulfurochloridate	8
1,1,2,2,3,3,4,4-Octafluoro-4-iodobutyl sulfurofluoridate	8
Trifluoromethyl 2,2,2-trifluoroethane-1-sulfonate	8
1,1,3,3-Tetrakis(trifluoromethanesulfonyl)propane	8
3,4-Difluorobenzene-1-sulfonic acid	8
2,4-Difluorobenzene-1-sulfonic acid	8
Trifluoromethanesulfonyl bromide	8
3-(Chlorosulfonyl)-2,2,3,3-tetrafluoropropanoyl chloride	8
2-Chloro-1,1,2,2-tetrafluoroethane-1-sulfonyl chloride	8
Difluoro(1,1,2,2-tetrafluoro-2-sulfoethoxy)acetic acid	8
Sulfurofluoridous acid	8
3-Bromobenzene-1-sulfonic acid	8
2-Chloro-1,1,2,2-tetrafluoroethyl sulfurofluoridate	8
1,1,2,3,3,3-Hexafluoro-2-iodopropyl sulfurofluoridate	8
1,1,2,2-Tetrafluoro-2-iodoethyl sulfurofluoridate	8
2,3,5,6-Tetrafluorobenzene-1-sulfonic acid	8
Chloro(difluoro)methanesulfonyl fluoride	8
2,3,4,5-Tetrafluorobenzene-1-sulfonic acid	8
Fluorosulfuric acid, 2-bromo-1,1,2,2-tetrafluoroethyl ester	8
Methane, bromobis[(trifluoromethyl)sulfonyl]-	8
Hexane, 1-(ethenylsulfonyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	8
methyltrifluoromethylsulfone	8
2,3,3,3-Tetrafluoro-2-(fluorosulfonyl)propanoyl fluoride	8
Methanetrisulfonyl trifluoride	8
3,5-dichlorobenzenesulfonic Acid	8
3-iodobenzenesulfonic Acid	8
1,4-Butanedisulfonyl dichloride, 1,1,2,2,3,3,4,4-octafluoro-	8
Trifluoroacetyl triflate	8
1,1-Ethanedisulfonic acid, 2-oxo-	8
2-Propanesulfonic acid, 2-methyl-	8
1,1,1,2,2,3,3,4,4-Nonafluoro-4-(methanesulfonyl)butane	8
Heptadecafluoro-1-octanesulfonyl chloride	8
Pentafluoroethane-1-sulfonyl chloride	8
Nonafluoro-1-butanesulfonyl chloride	8
1-[bromo(1,1,2,2,3,3,4,4,4-nonafluorobutylsulfonyl)methyl]sulfonyl-1,1,2,2,3,3,4,4,4-nonafluorobutane	8
2-phenylethenesulfonic acid	8
Sulphonylbis(tribromomethane)	8
1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulphonyl chloride	8
Trifluoromethanesulphonyl chloride	8
Fluorosulphuric acid, compound with antimony pentafluoride (4:1)	8
2,2,2-Trifluoroethyl trichloromethanesulphonate	8
Difluoromethanesulphonyl chloride	8
Benzeneselenyl trifalate	8
Ethanesulfonic acid, 1,1,2,2-tetrafluoro-2-((trifluoroethenyl)oxy)-, polymer with tetrafluoroethene	8
Methane, sulfonylbis[dichloro-	8
Sulfite, hydrogen	8
Methanesulfonic acid, trifluoro-, 2-propynyl ester	8
Disulfuryl fluoride	8
Acetyl fluoride, difluoro(fluorosulfonyl)-	8
4-Chlorobenzenesulfonic acid	8
Bis(trichloromethyl)sulfone	8
Sulfuric acid	8
Benzenesulfonic acid	8
Sulfuric acid--water (1/5)	9
Sulfuric acid--water (1/12)	9
Sulfurous acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/2)	9
Sulfuric acid--water (1/6)	9
Trifluoromethanesulfonic acid--(naphthalen-1-yl)phosphane (1/1)	9
1,1,2,3,4,4,5,5,6,6,6-Undecafluorohex-2-en-1-yl sulfurofluoridate	9
Sulfuric acid--water (1/15)	9
Sulfuric acid--water (1/11)	9
Sulfuric acid--water (1/7)	9
Sulfuric acid--water (1/9)	9
Sulfuric acid--water (1/16)	9
Sulfuric acid--water (1/14)	9
Sulfuric acid--water (1/17)	9
Sulfuric acid--water (1/10)	9
Sulfuric acid--water (1/13)	9
Sulfuric acid--water (1/3)	9
Dihydroxy(oxo)(sulfodisulfanyl)-lambda~5~-phosphane	9
Sulfuric acid--water (1/4)	9
Dichloro(dioxo-lambda~6~-sulfanylidene)methane	9
1,2,2,2-Tetrafluoroethane-1-sulfonic acid--pyridine (1/1)	9
(Trifluoromethanesulfonyl)cyclopropane	9
2,3,5,6-Tetrafluoro-4-sulfanylbenzene-1-sulfonic acid	9
Ammonium sulfurofluoridate	9
(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)(phenyl)iodanium trifluoromethanesulfonate	9
Potassium sulfurofluoridate	9
2-(Trifluoromethanesulfonyl)propane	9
1,2-Dichloroethane-1,1-disulfonic acid	9
Hydrogen disulfate	9
4'-Fluoro[1,1'-biphenyl]-4-sulfonic acid	9
(4-Fluorophenyl)methanesulfonic acid	9
1-Bromoethane-1-sulfinic acid	9
Phenyl(tridecafluorohexyl)iodanium trifluoromethanesulfonate	9
1,1,2,2-Tetrafluoro-2-(1,2,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride	9
2-Fluoro-5-methylbenzene-1-sulfonic acid	9
1,2,2,2-Tetrachloroethyl sulfurochloridate	9
1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl sulfurofluoridate	9
1,1,2,2-Tetrafluoro-2-(nonafluorobutoxy)ethane-1-sulfonyl fluoride	9
1,1,2,2-Tetrafluoro-2-[(tridecafluorohexyl)oxy]ethane-1-sulfonyl fluoride	9
Benzenesulfinic acid, 4-(trifluoromethyl)-	9
2-Iodo-1,1,2,2-tetrafluoroethyl chlorosulfate	9
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride	9
Ethanesulfonyl fluoride, 1,1,2,2-tetrafluoro-2-(trifluoromethoxy)-	9
3-PENTANESULFONIC ACID	9
Sulfate, hydrogen, compd. with sulfuric acid (1:1)	9
1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonyl fluoride	9
(Heptadecafluorooctyl)(phenyl)iodanium trifluoromethanesulfonate	9
(Heptafluoropropyl)(phenyl)iodanium trifluoromethanesulfonate	9
Triisopropylsilyl trifluoromethanesulfonate	9
bromomethanesulfonic acid	9
NSC175780	9
s-(trifluoromethyl) methanesulfonothioate	9
2-propyne-1-sulfonic acid	9
Pyrosulfurous acid	9
Aluminum fluorosulfate, hydrate	9
4-Mercaptobenzenesulfonic acid	9
