Chemical name	Distance (lower = more similar)
1,2,2,2-Tetrachloroethyl sulfurochloridate	0.2903225806451613
1,1,2,2-Tetrafluoro-2-(nonafluorobutoxy)ethane-1-sulfonyl fluoride	0.2903225806451613
1,1,2,2-Tetrafluoro-2-[(tridecafluorohexyl)oxy]ethane-1-sulfonyl fluoride	0.2903225806451613
1,1,2,2-Tetrafluoro-2-(1,1,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride	0.2903225806451613
Ethanesulfonyl fluoride, 1,1,2,2-tetrafluoro-2-(trifluoromethoxy)-	0.2903225806451613
Sulfate, hydrogen, compd. with sulfuric acid (1:1)	0.2903225806451613
1,1,2,2-Tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonyl fluoride	0.2903225806451613
Thiosulfuric acid (H2S2O3), silver(1+) salt	0.2903225806451613
Fuming sulfuric acid	0.2903225806451613
1-Sulfanylpropane-1-sulfonic acid	0.29411764705882354
4-Oxobutane-2-sulfonic acid	0.29411764705882354
Hydroxy(oxo)methanesulfonic acid	0.29411764705882354
5,5,5-Trifluoropentane-1-sulfonate	0.29411764705882354
Cyclopentanesulfonic acid	0.29411764705882354
Benzenesulfonic acid, 4-(phenylthio)-	0.29411764705882354
4-methylsulfanylbenzenesulfonic Acid	0.29411764705882354
3,5-dimethylbenzenesulfonic Acid	0.29411764705882354
2-Propanesulfonic acid, 1,3-dimercapto-, sodium salt	0.29411764705882354
Benzene-1,4-disulfonic acid	0.29411764705882354
4-Mercuriphenylsulfonate	0.29411764705882354
4-Ethenylbenzenesulfonic acid	0.29411764705882354
Benzene-1,3-disulfonic acid	0.29411764705882354
Methanesulfonic acid--2,2,3,3-tetrafluoropropan-1-ol (1/1)	0.2972972972972973
PUBCHEM_71370778	0.2972972972972973
Methanesulfonic acid--3,3,3-trifluoroprop-1-en-2-ol (1/1)	0.2972972972972973
Methanesulfonic acid--2,2,3,3,4,4,5,5-octafluoropentan-1-ol (1/1)	0.2972972972972973
4-Chlorobenzene-1-sulfonic acid--cadmium (1/1)	0.2972972972972973
7-Bromonaphthalene-1-sulfonic acid	0.2972972972972973
7-Chloronaphthalene-2-sulfonic acid	0.2972972972972973
6-Chloronaphthalene-1-sulfonic acid	0.2972972972972973
2-(4-Fluorophenyl)ethane-1-sulfonic acid	0.2972972972972973
4'-Chloro[1,1'-biphenyl]-4-sulfonic acid	0.2972972972972973
2-Bromo-5-methylbenzene-1-sulfonic acid	0.2972972972972973
5-Bromo-2-methylbenzene-1-sulfonic acid	0.2972972972972973
5-Chloronaphthalene-1-sulfonic acid	0.2972972972972973
4-Iodonaphthalene-1-sulfonic acid	0.2972972972972973
8-Bromonaphthalene-2-sulfonic acid	0.2972972972972973
2-Iodo-5-methylbenzene-1-sulfonic acid	0.2972972972972973
5-Bromonaphthalene-1-sulfonic acid	0.2972972972972973
4-Hydroxyphenyl trifluoromethanesulfonate	0.2972972972972973
6-Bromonaphthalene-2-sulfonic acid	0.2972972972972973
8-Bromonaphthalene-1-sulfonic acid	0.2972972972972973
4-Bromonaphthalene-1-sulfonic acid	0.2972972972972973
6-chloronaphthalene-2-sulfonic Acid	0.2972972972972973
5-bromothiophene-2-sulfonic Acid	0.2972972972972973
5-bromonaphthalene-2-sulfonic Acid	0.2972972972972973
4-BROMO-4'-SULFOBIPHENYL	0.2972972972972973
9,10-dibromoanthracene-2-sulfonic Acid	0.2972972972972973
4-chloronaphthalene-1-sulfonic acid	0.2972972972972973
4-Chlorotoluene-3-sulphonic acid	0.2972972972972973
Benzenesulfonic acid, 3-chloro-4-methyl-	0.2972972972972973
(Trifluoromethanesulfonyl)cyclopropane	0.3
2-(Trifluoromethanesulfonyl)propane	0.3
s-(trifluoromethyl) methanesulfonothioate	0.3
Tetrathioate	0.3
Methanesulfonate	0.3
2,3-Bis(sulfosulfanyl)butanedioic acid	0.30303030303030304
2,2,2-Trifluoroethyl sulfurofluoridate	0.30303030303030304
perfluoroallyl fluorosulfate	0.30303030303030304
2,2-Difluoro-2-(fluorosulfonyl)acetic acid	0.30303030303030304
Ethanesulfonic acid	0.30303030303030304
2-Propene-1-sulfonic acid	0.30303030303030304
Cyclobutyl trifluoromethanesulfonate	0.3055555555555556
Butan-2-yl trifluoromethanesulfonate	0.3055555555555556
1-Phenylprop-1-en-2-yl trifluoromethanesulfonate	0.3055555555555556
Pentan-3-yl trifluoromethanesulfonate	0.3055555555555556
3-Fluoropropyl trifluoromethanesulfonate	0.3055555555555556
Dichlorosulfamic acid	0.3055555555555556
Diphenyl(trifluoromethyl)sulfanium trifluoromethanesulfonate	0.3055555555555556
Triphenyl[(trifluoromethanesulfonyl)oxy]germane	0.3055555555555556
Diphenyliodanium nonafluorobutane-1-sulfonate	0.3055555555555556
Di-tert-butyl(methyl)silyl trifluoromethanesulfonate	0.3055555555555556
(4-Chlorophenyl)methanesulfonic acid	0.3055555555555556
Methanesulfonic acid, trifluoro-, 1-phenylethenyl ester	0.3055555555555556
Dimethylsilanediyl bis(trifluoromethanesulfonate)	0.3055555555555556
Benzoyl Trifluoromethanesulfonate	0.3055555555555556
